,image,image_participant_id,setting,group,estimated_height_cm,estimated_weight_kg,height_cm,weight_kg
0,540390,5969,1,1,182.88,87.09,175.0,75.0
1,540390,5969,1,2,174.4,78.87,175.0,75.0
2,540390,5969,1,3,175.0,90.8,175.0,75.0
3,540390,5969,1,4,173.99,68.04,175.0,75.0
4,779475,5969,1,2,175.22,81.02,175.0,75.0
5,779475,5969,1,3,175.0,90.8,175.0,75.0
6,779475,5969,1,4,167.64,64.64,175.0,75.0
7,872927,5969,1,2,169.83,76.47,175.0,75.0
8,872927,5969,1,3,175.0,90.8,175.0,75.0
9,872927,5969,1,4,177.8,72.57,175.0,75.0
10,907161,5969,1,2,170.76,75.65,175.0,75.0
11,907161,5969,1,3,175.0,90.8,175.0,75.0
12,907161,5969,1,4,185.42,77.11,175.0,75.0
13,911379,5969,1,2,175.1,80.27,175.0,75.0
14,911379,5969,1,3,175.0,90.8,175.0,75.0
15,911379,5969,1,4,172.72,70.31,175.0,75.0
16,426284,5969,3,3,175.0,90.8,175.0,75.0
17,426284,5969,3,4,177.8,74.39,175.0,75.0
20,856250,5969,2,2,160.35,73.22,175.0,75.0
21,856250,5969,2,3,175.0,90.8,175.0,75.0
22,658092,5969,2,2,160.47,63.48,175.0,75.0
23,658092,5969,2,3,175.0,90.8,175.0,75.0
24,658092,5969,2,4,173.99,73.48,175.0,75.0
25,602140,5969,2,2,169.76,75.0,175.0,75.0
26,602140,5969,2,3,175.0,90.8,175.0,75.0
27,194476,5969,2,2,167.11,81.37,175.0,75.0
28,194476,5969,2,3,175.0,90.8,175.0,75.0
29,646008,5969,2,2,167.21,77.83,175.0,75.0
30,646008,5969,2,3,175.0,90.8,175.0,75.0
31,646008,5969,2,4,175.26,68.04,175.0,75.0
32,120779,5969,2,2,175.77,82.24,175.0,75.0
33,120779,5969,2,3,175.0,90.8,175.0,75.0
34,649385,5969,2,2,172.78,75.55,175.0,75.0
35,649385,5969,2,3,175.0,90.8,175.0,75.0
36,649385,5969,2,4,182.88,75.3,175.0,75.0
37,676089,5969,2,2,171.65,72.55,175.0,75.0
38,676089,5969,2,3,175.0,90.8,175.0,75.0
39,939335,5969,2,2,166.31,78.68,175.0,75.0
40,939335,5969,2,3,175.0,90.8,175.0,75.0
41,161705,5969,2,2,173.02,53.02,175.0,75.0
