,image,image_participant_id,setting,mturk_participant_id,estimated_height_cm,actual_height_cm,estimated_weight_kg,actual_weight_kg
0,756776,8580,1,3,172.72,167.0,74.84,78.55
1,756776,8580,1,10,172.72,167.0,95.25,78.55
2,756776,8580,1,11,165.1,167.0,72.57,78.55
3,756776,8580,1,29,182.88,167.0,81.65,78.55
4,756776,8580,1,43,185.42,167.0,56.7,78.55
5,756776,8580,1,55,167.64,167.0,61.23,78.55
6,756776,8580,1,62,165.1,167.0,72.57,78.55
7,756776,8580,1,75,162.56,167.0,67.13,78.55
8,756776,8580,1,76,172.72,167.0,74.84,78.55
9,756776,8580,1,85,162.56,167.0,48.99,78.55
10,756776,8580,1,95,182.88,167.0,88.45,78.55
11,756776,8580,1,96,172.72,167.0,72.57,78.55
12,756776,8580,1,115,175.26,167.0,66.68,78.55
13,756776,8580,1,122,172.72,167.0,72.57,78.55
14,756776,8580,1,134,157.48,167.0,72.57,78.55
15,756776,8580,1,139,182.88,167.0,68.04,78.55
16,756776,8580,1,154,167.64,167.0,68.04,78.55
17,756776,8580,1,158,172.72,167.0,67.59,78.55
18,756776,8580,1,172,187.96,167.0,36.29,78.55
19,756776,8580,1,176,195.58,167.0,58.97,78.55
20,756776,8580,1,186,177.8,167.0,77.11,78.55
21,756776,8580,1,192,170.18,167.0,72.57,78.55
22,756776,8580,1,197,177.8,167.0,90.72,78.55
23,756776,8580,1,202,172.72,167.0,72.57,78.55
24,756776,8580,1,218,177.8,167.0,70.76,78.55
25,756776,8580,1,220,162.56,167.0,54.43,78.55
26,756776,8580,1,230,180.34,167.0,31.75,78.55
27,756776,8580,1,234,185.42,167.0,77.56,78.55
28,394055,5783,1,3,160.02,157.6,49.9,61.3
29,394055,5783,1,10,162.56,157.6,47.63,61.3
30,394055,5783,1,11,167.64,157.6,58.97,61.3
31,394055,5783,1,29,142.24,157.6,72.57,61.3
32,394055,5783,1,43,154.94,157.6,56.7,61.3
33,394055,5783,1,55,172.72,157.6,63.5,61.3
34,394055,5783,1,62,162.56,157.6,63.5,61.3
35,394055,5783,1,75,160.02,157.6,63.5,61.3
36,394055,5783,1,76,165.1,157.6,54.43,61.3
37,394055,5783,1,85,193.04,157.6,59.87,61.3
38,394055,5783,1,95,172.72,157.6,73.48,61.3
39,394055,5783,1,96,142.24,157.6,54.43,61.3
40,394055,5783,1,115,165.1,157.6,52.62,61.3
41,394055,5783,1,122,167.64,157.6,65.77,61.3
42,394055,5783,1,134,157.48,157.6,61.23,61.3
43,394055,5783,1,139,152.4,157.6,54.43,61.3
44,394055,5783,1,154,165.1,157.6,65.77,61.3
45,394055,5783,1,158,160.02,157.6,63.05,61.3
46,394055,5783,1,172,187.96,157.6,29.48,61.3
47,394055,5783,1,176,195.58,157.6,54.43,61.3
48,394055,5783,1,186,175.26,157.6,77.11,61.3
49,394055,5783,1,192,165.1,157.6,58.97,61.3
50,394055,5783,1,197,162.56,157.6,54.43,61.3
51,394055,5783,1,202,170.18,157.6,77.11,61.3
52,394055,5783,1,218,167.64,157.6,54.43,61.3
53,394055,5783,1,220,162.56,157.6,58.97,61.3
54,394055,5783,1,230,180.34,157.6,29.48,61.3
55,394055,5783,1,234,160.02,157.6,52.16,61.3
56,644076,6107,1,3,165.1,164.0,54.43,55.45
57,644076,6107,1,10,165.1,164.0,63.5,55.45
58,644076,6107,1,11,170.18,164.0,63.5,55.45
59,644076,6107,1,29,172.72,164.0,54.43,55.45
60,644076,6107,1,43,185.42,164.0,70.31,55.45
61,644076,6107,1,55,167.64,164.0,61.23,55.45
62,644076,6107,1,62,162.56,164.0,63.5,55.45
63,644076,6107,1,75,162.56,164.0,61.23,55.45
64,644076,6107,1,76,167.64,164.0,54.43,55.45
65,644076,6107,1,85,162.56,164.0,50.8,55.45
66,644076,6107,1,95,172.72,164.0,85.73,55.45
67,644076,6107,1,96,154.94,164.0,63.5,55.45
68,644076,6107,1,115,167.64,164.0,57.61,55.45
69,644076,6107,1,122,160.02,164.0,58.97,55.45
70,644076,6107,1,134,154.94,164.0,61.23,55.45
71,644076,6107,1,139,152.4,164.0,54.43,55.45
72,644076,6107,1,154,167.64,164.0,65.77,55.45
73,644076,6107,1,158,172.72,164.0,65.77,55.45
74,644076,6107,1,172,175.26,164.0,30.39,55.45
75,644076,6107,1,176,228.6,164.0,54.43,55.45
76,644076,6107,1,186,175.26,164.0,74.84,55.45
77,644076,6107,1,192,160.02,164.0,54.43,55.45
78,644076,6107,1,197,165.1,164.0,70.31,55.45
79,644076,6107,1,202,170.18,164.0,74.84,55.45
80,644076,6107,1,218,152.4,164.0,49.9,55.45
81,644076,6107,1,220,167.64,164.0,68.04,55.45
82,644076,6107,1,230,180.34,164.0,29.48,55.45
83,644076,6107,1,234,162.56,164.0,54.43,55.45
84,660591,9329,1,3,165.1,157.9,54.43,55.45
85,660591,9329,1,10,162.56,157.9,58.97,55.45
86,660591,9329,1,11,162.56,157.9,56.7,55.45
87,660591,9329,1,29,172.72,157.9,65.77,55.45
88,660591,9329,1,43,154.94,157.9,56.7,55.45
89,660591,9329,1,55,160.02,157.9,65.77,55.45
90,660591,9329,1,62,165.1,157.9,65.77,55.45
91,660591,9329,1,75,160.02,157.9,62.6,55.45
92,660591,9329,1,76,172.72,157.9,60.33,55.45
93,660591,9329,1,85,160.02,157.9,55.34,55.45
94,660591,9329,1,95,167.64,157.9,77.11,55.45
95,660591,9329,1,96,144.78,157.9,58.97,55.45
96,660591,9329,1,115,170.18,157.9,61.69,55.45
97,660591,9329,1,122,165.1,157.9,65.77,55.45
98,660591,9329,1,134,127.0,157.9,63.5,55.45
99,660591,9329,1,139,152.4,157.9,54.43,55.45
100,660591,9329,1,154,170.18,157.9,68.04,55.45
101,660591,9329,1,158,160.02,157.9,62.6,55.45
102,660591,9329,1,172,187.96,157.9,30.39,55.45
103,660591,9329,1,176,195.58,157.9,63.5,55.45
104,660591,9329,1,186,167.64,157.9,76.2,55.45
105,660591,9329,1,192,167.64,157.9,54.43,55.45
106,660591,9329,1,197,165.1,157.9,49.9,55.45
107,660591,9329,1,202,172.72,157.9,72.57,55.45
108,660591,9329,1,218,160.02,157.9,54.43,55.45
109,660591,9329,1,220,162.56,157.9,58.97,55.45
110,660591,9329,1,230,180.34,157.9,29.48,55.45
111,660591,9329,1,234,160.02,157.9,54.43,55.45
112,779475,5969,1,3,162.56,175.0,63.5,75.0
113,779475,5969,1,10,162.56,175.0,86.18,75.0
114,779475,5969,1,11,165.1,175.0,61.23,75.0
115,779475,5969,1,29,172.72,175.0,79.38,75.0
116,779475,5969,1,43,154.94,175.0,56.7,75.0
117,779475,5969,1,55,170.18,175.0,65.77,75.0
118,779475,5969,1,62,165.1,175.0,65.77,75.0
119,779475,5969,1,75,190.5,175.0,78.02,75.0
120,779475,5969,1,76,167.64,175.0,72.57,75.0
121,779475,5969,1,85,193.04,175.0,55.34,75.0
122,779475,5969,1,95,172.72,175.0,83.91,75.0
123,779475,5969,1,96,149.86,175.0,61.23,75.0
124,779475,5969,1,115,162.56,175.0,54.88,75.0
125,779475,5969,1,122,162.56,175.0,68.04,75.0
126,779475,5969,1,134,157.48,175.0,70.31,75.0
127,779475,5969,1,139,167.64,175.0,58.97,75.0
128,779475,5969,1,154,152.4,175.0,63.5,75.0
129,779475,5969,1,158,170.18,175.0,65.77,75.0
130,779475,5969,1,172,175.26,175.0,34.02,75.0
131,779475,5969,1,176,226.06,175.0,54.43,75.0
132,779475,5969,1,186,162.56,175.0,72.57,75.0
133,779475,5969,1,192,167.64,175.0,58.97,75.0
134,779475,5969,1,197,167.64,175.0,63.5,75.0
135,779475,5969,1,202,170.18,175.0,70.31,75.0
136,779475,5969,1,218,167.64,175.0,65.77,75.0
137,779475,5969,1,220,162.56,175.0,58.97,75.0
138,779475,5969,1,230,180.34,175.0,29.48,75.0
139,779475,5969,1,234,175.26,175.0,70.31,75.0
140,594131,1758,1,3,160.02,158.5,49.9,52.35
141,594131,1758,1,10,142.24,158.5,49.9,52.35
142,594131,1758,1,11,167.64,158.5,54.43,52.35
143,594131,1758,1,29,157.48,158.5,54.43,52.35
144,594131,1758,1,43,154.94,158.5,56.7,52.35
145,594131,1758,1,55,167.64,158.5,58.97,52.35
146,594131,1758,1,62,162.56,158.5,63.5,52.35
147,594131,1758,1,75,160.02,158.5,61.23,52.35
148,594131,1758,1,76,167.64,158.5,54.43,52.35
149,594131,1758,1,85,162.56,158.5,50.35,52.35
150,594131,1758,1,95,160.02,158.5,72.12,52.35
151,594131,1758,1,96,142.24,158.5,54.43,52.35
152,594131,1758,1,115,157.48,158.5,52.62,52.35
153,594131,1758,1,122,160.02,158.5,61.23,52.35
154,594131,1758,1,134,149.86,158.5,65.77,52.35
155,594131,1758,1,139,152.4,158.5,54.43,52.35
156,594131,1758,1,154,165.1,158.5,63.5,52.35
157,594131,1758,1,158,160.02,158.5,63.96,52.35
158,594131,1758,1,172,172.72,158.5,30.39,52.35
159,594131,1758,1,176,193.04,158.5,54.43,52.35
160,594131,1758,1,186,160.02,158.5,72.57,52.35
161,594131,1758,1,192,162.56,158.5,58.97,52.35
162,594131,1758,1,197,172.72,158.5,74.84,52.35
163,594131,1758,1,202,170.18,158.5,70.31,52.35
164,594131,1758,1,218,154.94,158.5,54.43,52.35
165,594131,1758,1,220,165.1,158.5,54.43,52.35
166,594131,1758,1,230,180.34,158.5,29.48,52.35
